"person","perOcc","perBcity","perBcountry","perDcity","perDcountry","perBdate","perDdate"
"http://dbpedia.org/resource/Giovanna_Fratellini","http://dbpedia.org/class/yago/WikicatFlorentinePainters","http://dbpedia.org/resource/Florence","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Florence","http://dbpedia.org/resource/Italy","1666-1-1",1731-04-18
"http://dbpedia.org/resource/Violet_Oakley","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/New_Jersey","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Philadelphia","http://dbpedia.org/resource/United_States",1874-06-10,1961-02-25
"http://dbpedia.org/resource/Marian_Alford","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Rome","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Berkhamsted","http://dbpedia.org/resource/Hertfordshire","1817-1-1","1888-1-1"
"http://dbpedia.org/resource/Kiki_Kogelnik","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Bleiburg","http://dbpedia.org/resource/Austria","http://dbpedia.org/resource/Vienna","http://dbpedia.org/resource/Austria",1935-01-22,1997-02-01
"http://dbpedia.org/resource/Jane_Emmet_de_Glehn","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/New_Rochelle,_New_York","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","1873-1-1",1961-02-20
"http://dbpedia.org/resource/Christina_Gerarda_Enschedé","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Haarlem","http://dbpedia.org/resource/Netherlands","http://dbpedia.org/resource/Haarlem","http://dbpedia.org/resource/Netherlands",1791-12-10,"1873-3-6"
"http://dbpedia.org/resource/Sarah_Choate_Sears","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Cambridge,_Massachusetts","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Maine","http://dbpedia.org/resource/United_States","1858-5-5","1935-9-25"
"http://dbpedia.org/resource/Lilian_May_Miller","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Tokyo","http://dbpedia.org/resource/Japan","http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/United_States",1895-07-20,1943-01-11
"http://dbpedia.org/resource/Sydney_Mary_Thompson","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Ireland","http://dbpedia.org/resource/Republic_of_Ireland","http://dbpedia.org/resource/Llandudno","http://dbpedia.org/resource/United_Kingdom","1847-1-1","1923-7-16"
"http://dbpedia.org/resource/Nadezhda_Udaltsova","http://dbpedia.org/class/yago/WikicatRussianPainters","http://dbpedia.org/resource/Oryol","http://dbpedia.org/resource/Russia","http://dbpedia.org/resource/Moscow","http://dbpedia.org/resource/Russia",1885-12-29,1961-01-25
"http://dbpedia.org/resource/Chiara_Varotari","http://dbpedia.org/class/yago/WikicatItalianBaroquePainters","http://dbpedia.org/resource/Padua","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Venice","http://dbpedia.org/resource/Italy","1584-1-1","1660-1-1"
"http://dbpedia.org/resource/Regina_Ghazaryan","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Armenia","http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Armenia","1915-4-17","1999-11-6"
"http://dbpedia.org/resource/Aviva_Uri","http://dbpedia.org/class/yago/WikicatIsraeliPainters","http://dbpedia.org/resource/Safed","http://dbpedia.org/resource/Israel","http://dbpedia.org/resource/Tel_Aviv","http://dbpedia.org/resource/Israel",1922-03-12,1989-09-01
"http://dbpedia.org/resource/Jacoba_Maria_van_Nickelen","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Haarlem","http://dbpedia.org/resource/Netherlands","http://dbpedia.org/resource/Amsterdam","http://dbpedia.org/resource/Netherlands","1690-1-1","1749-1-1"
"http://dbpedia.org/resource/Flora_Lion","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom",1878-12-03,1958-05-15
"http://dbpedia.org/resource/Běla_Kolářová","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Terezín","http://dbpedia.org/resource/Czech_Republic","http://dbpedia.org/resource/Prague","http://dbpedia.org/resource/Czech_Republic","1923-3-24","2010-4-12"
"http://dbpedia.org/resource/Sara_Ashurbeyli","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Baku","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/resource/Baku","http://dbpedia.org/resource/Azerbaijan","1906-1-27","2001-7-17"
"http://dbpedia.org/resource/Else_Meidner","http://dbpedia.org/class/yago/WikicatGermanExpressionistPainters","http://dbpedia.org/resource/Berlin","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","1901-9-2","1987-5-7"
"http://dbpedia.org/resource/Kyra_Markham","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/United_States_of_America","http://dbpedia.org/resource/Port-au-Prince","http://dbpedia.org/resource/Haiti","1891-1-1","1967-1-1"
"http://dbpedia.org/resource/Jessie_Traill","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Brighton,_Victoria","http://dbpedia.org/resource/Australia","http://dbpedia.org/resource/Emerald,_Victoria","http://dbpedia.org/resource/Australia",1881-07-29,1967-05-15
"http://dbpedia.org/resource/Margaret_Meen","http://dbpedia.org/ontology/Painter","http://dbpedia.org/resource/Suffolk","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","1750-0-0","1824-0-0"
"http://dbpedia.org/resource/Cordelia_Urueta","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico","1908-6-5","1995-11-3"
"http://dbpedia.org/resource/Christiane_Pflug","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Berlin","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Canada",1936-06-20,1972-04-04
"http://dbpedia.org/resource/Maria_Manton","http://dbpedia.org/class/yago/WikicatFrenchWomenPainters","http://dbpedia.org/resource/Blida","http://dbpedia.org/resource/Algeria","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France","1910-12-4","2003-8-1"
"http://dbpedia.org/resource/Lucy_Tejada","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Pereira,_Colombia","http://dbpedia.org/resource/Colombia","http://dbpedia.org/resource/Cali","http://dbpedia.org/resource/Colombia",1920-10-09,"2011-11-2"
"http://dbpedia.org/resource/Aleijda_Wolfsen","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Zwolle","http://dbpedia.org/resource/Netherlands","http://dbpedia.org/resource/Zwolle","http://dbpedia.org/resource/Netherlands",1648-10-22,"1692-8-25"
"http://dbpedia.org/resource/Susan_Louise_Shatter","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","1943-0-0","2011-0-0"
"http://dbpedia.org/resource/Marie-Suzanne_Giroust","http://dbpedia.org/class/yago/WikicatFrenchWomenPainters","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France",1734-03-09,1772-08-31
"http://dbpedia.org/resource/Lisa_Wenger","http://dbpedia.org/class/yago/WikicatSwissPainters","http://dbpedia.org/resource/Bern","http://dbpedia.org/resource/Switzerland","http://dbpedia.org/resource/Carona,_Ticino","http://dbpedia.org/resource/Switzerland","1858-1-23",1941-10-16
"http://dbpedia.org/resource/Mary_Barnes","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Portsmouth","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/Tomintoul","http://dbpedia.org/resource/Scotland","1923-2-9","2001-6-29"
"http://dbpedia.org/resource/Judith_Brown_(sculptor)","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States",1931-12-17,1992-05-11
"http://dbpedia.org/resource/Adalin_Wichman","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Paris,_Kentucky","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Kentucky","http://dbpedia.org/resource/United_States","1922-0-0",2013-03-10
"http://dbpedia.org/resource/Antonia_Eiriz","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Havana","http://dbpedia.org/resource/Cuba","http://dbpedia.org/resource/Miami","http://dbpedia.org/resource/United_States","1929-4-1","1995-3-9"
